Index,Name,Type,GroupOrColor,LearningFocus,Effect
1,起點：語文啟程站,Start,,回合開始獎勵,"每次經過或停留領取200語文資源並獲得1枚語文勳章。"
2,偏旁部首坊,Property,草綠（字詞入門）,部首認讀,"購地成本60，基準租金10；擁有草綠組可啟動「偏旁入門」技能，租金+10%。"
3,識字卡,Fate,,字形記憶,"抽取命運卡並立即執行指示。"
4,象形文字街,Property,草綠（字詞入門）,字源探究,"購地成本80，基準租金12；與格2同色可建字屋，最多4棟。"
5,國粹水利站,Utility,公用事業,文化常識,"若被停留者擲骰×10支付語文資源；持有兩座公用事業則擲骰×20。"
6,句式調整巷,Property,淺黃（語法運用）,語法結構,"購地成本100，基準租金15；同色三格全擁有可獲「句式小達人」，租金再+10%。"
7,機會卡,Chance,,語文挑戰,"抽取機會卡並立即執行指示。"
8,修辭花園,Property,淺黃（語法運用）,修辭技巧,"購地成本120，基準租金18；字屋每棟+15租金。"
9,字音診所,Property,淺黃（語法運用）,字音辨識,"購地成本140，基準租金20；書院租金=基準×3。"
10,語文活動中心,Corner,,課外工作坊,"停留時向銀行支付75語文資源參與活動；若資源不足則補抽命運卡決定後果。"
11,寓言鎮,Property,淺藍（寓言詩詞）,寓言理解,"購地成本160，基準租金22；同色三格全擁有可獲「寓言導覽員」，租金+10%。"
12,朗讀劇團（語文列車1）,Railroad,語文列車,朗讀表演,"購買成本200；被停留者依持有列車數支付25/50/100/200語文資源。"
13,成語大道,Property,淺藍（寓言詩詞）,成語運用,"購地成本180，基準租金25；可建字屋提升每棟+20租金。"
14,機會卡,Chance,,語文挑戰,"抽取機會卡並立即執行指示。"
15,古詩琴坊,Property,淺藍（寓言詩詞）,古詩吟誦,"購地成本200，基準租金28；升級書院後租金=基準×3。"
16,部首挑戰營,Property,粉紅（部首挑戰）,部件拆解,"購地成本220，基準租金30；擁有粉紅組可獲「部首教練」技能，租金+10%。"
17,免費圖書室,Special,,閱讀支援,"可選擇領取50語文資源或抽取一張命運卡。"
18,書寫工房,Property,粉紅（部首挑戰）,筆畫順序,"購地成本240，基準租金32；每棟字屋+25租金。"
19,造字工坊,Property,粉紅（部首挑戰）,造字原理,"購地成本260，基準租金35；書院租金=基準×3，並可多拿一枚語文勳章。"
20,語文修養室,Corner,,反思與閱讀,"若經抽卡或指示進入須停留一回合並完成老師指定的朗讀/寫作任務；支付50資源可提前離開。"
21,說明文園區,Property,橙色（寫作練習）,說明文結構,"購地成本280，基準租金38；同色兩格擁有後蓋字屋。"
22,機會卡,Chance,,語文挑戰,"抽取機會卡並立即執行指示。"
23,日記小巷,Property,橙色（寫作練習）,日記描寫,"購地成本300，基準租金42；兩格皆擁有時取得「寫作魔法」，租金+10%。"
24,文具補給站,Utility,公用事業,課具管理,"若被停留者擲骰×10支付語文資源；持有兩座公用事業則擲骰×20。"
25,神話傳說港,Property,紫色（文化傳承）,神話故事,"購地成本320，基準租金45；同色三格全擁有租金+10%。"
26,語文列車2,Railroad,語文列車,故事朗讀,"購買成本200；被停留者依列車數支付25/50/100/200語文資源。"
27,故事結構坊,Property,紫色（文化傳承）,敘事結構,"購地成本340，基準租金48；每棟字屋+30租金。"
28,同義反義巷,Property,紫色（文化傳承）,詞語辨析,"購地成本360，基準租金52；書院=基準×3並可向每位玩家收30資源。"
29,命運卡,Fate,,語文事件,"抽取命運卡並立即執行指示。"
30,標點練習場,Property,紅色（技巧提升）,標點符號,"購地成本380，基準租金55；與格32同色後可建字屋。"
31,餐膳補給站,Corner,,補給/免費停留,"可選擇領取100語文資源或抽補給任務卡（等同命運）。"
32,語文挑戰塔,Property,紅色（技巧提升）,整合應用,"購地成本400，基準租金60；書院=基準×3並獲得一次額外抽機會卡的權利。"
33,地方文化街,Property,深藍（高階語文）,地方文化,"購地成本420，基準租金65；與深藍組其他格全擁有可啟用「文化導賞」加成+10%。"
34,命運卡,Fate,,語文事件,"抽取命運卡並立即執行指示。"
35,語文列車3,Railroad,語文列車,口語演說,"購買成本200；被停留者依列車數支付25/50/100/200語文資源。"
36,短文賞析苑,Property,深藍（高階語文）,閱讀賞析,"購地成本440，基準租金70；字屋每棟+40租金。"
37,機會卡,Chance,,語文挑戰,"抽取機會卡並立即執行指示。"
38,口語表達廣場,Special,,口語練習,"停留者需完成60秒分享；成功可得50資源，未完成需付30資源。"
39,語文列車4,Railroad,語文列車,綜合巡禮,"購買成本200；被停留者依列車數支付25/50/100/200語文資源。"
40,詩詞大會堂,Property,深藍（高階語文）,詩詞創作,"購地成本500，基準租金90；書院租金=基準×3並獲額外語文勳章。"

